,title,genres,overview,cast,crew,summary
9,goldeneye,"['Adventure', 'Action', 'Thriller']","['James', 'Bond', 'must', 'unmask', 'the', 'mysterious', 'head', 'of', 'the', 'Janus', 'Syndicate', 'and', 'prevent', 'the', 'leader', 'from', 'utilizing', 'the', 'GoldenEye', 'weapons', 'system', 'to', 'inflict', 'devastating', 'revenge', 'on', 'Britain.']","['PierceBrosnan', 'SeanBean', 'IzabellaScorupco', 'FamkeJanssen', 'JoeDonBaker', 'JudiDench', 'GottfriedJohn', 'RobbieColtrane', 'AlanCumming', 'TchékyKaryo', 'DesmondLlewelyn', 'SamanthaBond', 'MichaelKitchen', 'SerenaGordon', 'SimonKunz', 'BillyJ.Mitchell', 'ConstantineGregory', 'MinnieDriver', 'MichelleArthur', 'RavilIsyanov']",['MartinCampbell'],James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain. Adventure Action Thriller PierceBrosnan SeanBean IzabellaScorupco FamkeJanssen JoeDonBaker JudiDench GottfriedJohn RobbieColtrane AlanCumming TchékyKaryo DesmondLlewelyn SamanthaBond MichaelKitchen SerenaGordon SimonKunz BillyJ.Mitchell ConstantineGregory MinnieDriver MichelleArthur RavilIsyanov MartinCampbell
68,friday,['Comedy'],"['Craig', 'and', 'Smokey', 'are', 'two', 'guys', 'in', 'Los', 'Angeles', 'hanging', 'out', 'on', 'their', 'porch', 'on', 'a', 'Friday', 'afternoon,', 'smoking', 'and', 'drinking,', 'looking', 'for', 'something', 'to', 'do.']","['IceCube', 'ChrisTucker', 'NiaLong', 'TomListerJr.', 'JohnWitherspoon', 'AnnaMariaHorsford', 'ReginaKing', 'PaulaJaiParker', 'FaizonLove', 'DJPooh', 'TonyCox', 'AnthonyJohnson', 'BernieMac', 'MeaganGood', 'TerriJ.Vaughn', 'F.GaryGray', 'ReynaldoRey', 'MichaelClarkeDuncan']",['F.GaryGray'],"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do. Comedy IceCube ChrisTucker NiaLong TomListerJr. JohnWitherspoon AnnaMariaHorsford ReginaKing PaulaJaiParker FaizonLove DJPooh TonyCox AnthonyJohnson BernieMac MeaganGood TerriJ.Vaughn F.GaryGray ReynaldoRey MichaelClarkeDuncan F.GaryGray"
69,from dusk till dawn,"['Horror', 'Action', 'Thriller', 'Crime']","['Seth', 'Gecko', 'and', 'his', 'younger', 'brother', 'Richard', 'are', 'on', 'the', 'run', 'after', 'a', 'bloody', 'bank', 'robbery', 'in', 'Texas.', 'They', 'escape', 'across', 'the', 'border', 'into', 'Mexico', 'and', 'will', 'be', 'home-free', 'the', 'next', 'morning,', 'when', 'they', 'pay', 'off', 'the', 'local', 'kingpin.', 'They', 'just', 'have', 'to', 'survive', ""'from"", 'dusk', 'till', ""dawn'"", 'at', 'the', 'rendezvous', 'point,', 'which', 'turns', 'out', 'to', 'be', 'a', 'Hell', 'of', 'a', 'strip', 'joint.']","['GeorgeClooney', 'QuentinTarantino', 'HarveyKeitel', 'JulietteLewis', 'ErnestLiu', 'SalmaHayek', 'CheechMarin', 'DannyTrejo', 'TomSavini', 'FredWilliamson', 'MichaelParks', 'BrendaHillhouse', 'JohnSaxon', 'MarcLawrence', 'KellyPreston', 'JohnHawkes', 'TitoLarriva', 'PeterAtanasoff', 'JohnnyVatosHernandez', 'AimeeGraham', 'HeidiMcNeal', 'ErnestM.Garcia', 'GregoryNicotero', 'Cristos', 'MikeMoroff', 'TiaTexada', 'JanineJordae', 'UngelaBrockman', 'MichelleBerube', 'MichaelMcKay', 'JakeMcKinnon', 'WalterPhelan', 'WayneToth']",['RobertRodriguez'],"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint. Horror Action Thriller Crime GeorgeClooney QuentinTarantino HarveyKeitel JulietteLewis ErnestLiu SalmaHayek CheechMarin DannyTrejo TomSavini FredWilliamson MichaelParks BrendaHillhouse JohnSaxon MarcLawrence KellyPreston JohnHawkes TitoLarriva PeterAtanasoff JohnnyVatosHernandez AimeeGraham HeidiMcNeal ErnestM.Garcia GregoryNicotero Cristos MikeMoroff TiaTexada JanineJordae UngelaBrockman MichelleBerube MichaelMcKay JakeMcKinnon WalterPhelan WayneToth RobertRodriguez"
153,blue in the face,['Comedy'],"['Auggie', 'runs', 'a', 'small', 'tobacco', 'shop', 'in', 'Brooklyn,', 'New', 'York.', 'The', 'whole', 'neighborhood', 'comes', 'to', 'visit', 'him', 'to', 'buy', 'cigarettes', 'and', 'have', 'some', 'small', 'talk.', 'During', 'the', 'movie', 'Lou', 'Reed', 'tries', 'to', 'explain', 'why', 'he', 'has', 'to', 'have', 'a', 'cut', 'on', 'his', 'health', 'insurance', 'bill', 'if', 'he', 'keeps', 'smoking', 'and', 'Madonna', 'acts', 'as', 'a', 'Singing', 'Telegram.']","['HarveyKeitel', 'LouReed', 'MichaelJ.Fox', 'RoseanneBarr', 'LilyTomlin', 'GiancarloEsposito', 'JoséZúñiga', 'Madonna', 'MiraSorvino', 'KeithDavid', 'VictorArgo', 'JimJarmusch', 'JaredHarris', 'MelGorham', 'MalikYoba', 'JohnLurie', 'StephenGevedon', 'SharifRashed', 'PeggyGormley', 'RuPaul']","['PaulAuster', 'WayneWang']","Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram. Comedy HarveyKeitel LouReed MichaelJ.Fox RoseanneBarr LilyTomlin GiancarloEsposito JoséZúñiga Madonna MiraSorvino KeithDavid VictorArgo JimJarmusch JaredHarris MelGorham MalikYoba JohnLurie StephenGevedon SharifRashed PeggyGormley RuPaul PaulAuster WayneWang"
178,mighty morphin power rangers: the movie,"['Action', 'Adventure', 'ScienceFiction', 'Family', 'Fantasy']","['Power', 'up', 'with', 'six', 'incredible', 'teens', 'who', 'out-maneuver', 'and', 'defeat', 'evil', 'everywhere', 'as', 'the', 'Mighty', 'Morphin', 'Power', 'Ranger,', 'But', 'this', 'time', 'the', 'Power', 'Rangers', 'may', 'have', 'met', 'their', 'match,', 'when', 'they', 'face', 'off', 'with', 'the', 'most', 'sinister', 'monster', 'the', 'galaxy', 'has', 'ever', 'seen.']","['AmyJoJohnson', 'JasonDavidFrank', 'DavidYost', 'JohnnyYongBosch', 'SteveCardenas', 'KaranAshley', 'PaulSchrier', 'JasonNarvy', 'PaulFreeman', 'GabrielleFitzpatrick', 'JamieCroft', 'PeterMochrie']",['BryanSpicer'],"Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen. Action Adventure ScienceFiction Family Fantasy AmyJoJohnson JasonDavidFrank DavidYost JohnnyYongBosch SteveCardenas KaranAshley PaulSchrier JasonNarvy PaulFreeman GabrielleFitzpatrick JamieCroft PeterMochrie BryanSpicer"
219,clerks,['Comedy'],"['Convenience', 'and', 'video', 'store', 'clerks', 'Dante', 'and', 'Randal', 'are', 'sharp-witted,', 'potty-mouthed', 'and', 'bored', 'out', 'of', 'their', 'minds.', 'So', 'in', 'between', 'needling', 'customers,', 'the', 'counter', 'jockeys', 'play', 'hockey', 'on', 'the', 'roof,', 'visit', 'a', 'funeral', 'home', 'and', 'deal', 'with', 'their', 'love', 'lives.']","[""BrianO'Halloran"", 'JeffAnderson', 'JasonMewes', 'KevinSmith', 'LisaSpoonhauer', 'MarilynGhigliotti', 'ScottMosier', 'WaltFlanagan', 'ScottSchiaffo', 'DavidKlein', 'EdHapstak', 'PattijeanCsik', 'JohnHenryWesthead', 'KimberlyLoughran', 'GraceSmith']",['KevinSmith'],"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives. Comedy BrianO'Halloran JeffAnderson JasonMewes KevinSmith LisaSpoonhauer MarilynGhigliotti ScottMosier WaltFlanagan ScottSchiaffo DavidKlein EdHapstak PattijeanCsik JohnHenryWesthead KimberlyLoughran GraceSmith KevinSmith"
256,star wars,"['Adventure', 'Action', 'ScienceFiction']","['Princess', 'Leia', 'is', 'captured', 'and', 'held', 'hostage', 'by', 'the', 'evil', 'Imperial', 'forces', 'in', 'their', 'effort', 'to', 'take', 'over', 'the', 'galactic', 'Empire.', 'Venturesome', 'Luke', 'Skywalker', 'and', 'dashing', 'captain', 'Han', 'Solo', 'team', 'together', 'with', 'the', 'loveable', 'robot', 'duo', 'R2-D2', 'and', 'C-3PO', 'to', 'rescue', 'the', 'beautiful', 'princess', 'and', 'restore', 'peace', 'and', 'justice', 'in', 'the', 'Empire.']","['MarkHamill', 'HarrisonFord', 'CarrieFisher', 'PeterCushing', 'AlecGuinness', 'AnthonyDaniels', 'KennyBaker', 'PeterMayhew', 'DavidProwse', 'JamesEarlJones', 'PhilBrown', 'ShelaghFraser', 'JackPurvis', 'EddieByrne', 'DenisLawson', 'GarrickHagon', 'DonHenderson', 'LeslieSchofield', 'RichardLeParmentier', 'MichaelLeader', 'AlexMcCrindle', 'DreweHenley', 'JackKlaff', 'WilliamHootkins', 'AngusMacInnes', 'JeremySinden', 'GrahamAshley', 'DavidAnkrum', 'MarkAustin', 'ScottBeach', 'LightningBear', 'JonBerg', 'DougBeswick', 'PaulBlake', 'JaniceBurchette', 'TedBurnett', 'JohnChapman', 'GildaCohen', 'TimCondren', 'BarryCopping', 'AlfieCurtis', 'RobertDavies', 'MariaDeAragon', 'RobertA.Denham', 'FrazerDiamond', 'PeterDiamond', 'WarwickDiamond', 'SadieEden', 'KimFalkinburg', 'HarryFielder', 'TedGagliano', 'SaloGardner', 'SteveGawley', 'BarryGnome', 'RustyGoffe', 'IsaacGrand', 'NelsonHall', 'RegHarding', 'AlanHarris', 'FrankHenson', 'ChristineHewett', 'ArthurHowell', 'TommyIlsley', 'JoeJohnston', 'AnnetteJones', 'LindaJones', 'JoeKaye', 'ColinMichaelKitchens', 'MelissaKurtz', 'TiffanyL.Kurtz', 'AlLampert', 'AnthonyLang', 'LaineLiska', 'DerekLyons', 'Mahjoub', 'AlfMangan', 'RickMcCallum', 'GrantMcCune', 'GeoffreyMoon', 'MandyMorton', 'LornePeterson', 'MarcusPowell', 'ShaneRimmer', 'PamRose', 'GeorgeRoubicek', 'EricaSimmons', 'AngelaStaines', 'GeorgeStock', 'RoyStraite', 'PeterSturgeon', 'PeterSumner', 'JohnSylla', 'TomSylla', 'MalcolmTierney', 'PhilTippett', 'BurnellTucker', 'MorganUpton', 'JerryWalter', 'HalWamsley', 'LarryWard', 'DianaSadleyWay', 'HaroldWeed', 'BillWeston', ""Steve'Spaz'Williams"", 'FredWood', 'ColinHiggins']",['GeorgeLucas'],Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire. Adventure Action ScienceFiction MarkHamill HarrisonFord CarrieFisher PeterCushing AlecGuinness AnthonyDaniels KennyBaker PeterMayhew DavidProwse JamesEarlJones PhilBrown ShelaghFraser JackPurvis EddieByrne DenisLawson GarrickHagon DonHenderson LeslieSchofield RichardLeParmentier MichaelLeader AlexMcCrindle DreweHenley JackKlaff WilliamHootkins AngusMacInnes JeremySinden GrahamAshley DavidAnkrum MarkAustin ScottBeach LightningBear JonBerg DougBeswick PaulBlake JaniceBurchette TedBurnett JohnChapman GildaCohen TimCondren BarryCopping AlfieCurtis RobertDavies MariaDeAragon RobertA.Denham FrazerDiamond PeterDiamond WarwickDiamond SadieEden KimFalkinburg HarryFielder TedGagliano SaloGardner SteveGawley BarryGnome RustyGoffe IsaacGrand NelsonHall RegHarding AlanHarris FrankHenson ChristineHewett ArthurHowell TommyIlsley JoeJohnston AnnetteJones LindaJones JoeKaye ColinMichaelKitchens MelissaKurtz TiffanyL.Kurtz AlLampert AnthonyLang LaineLiska DerekLyons Mahjoub AlfMangan RickMcCallum GrantMcCune GeoffreyMoon MandyMorton LornePeterson MarcusPowell ShaneRimmer PamRose GeorgeRoubicek EricaSimmons AngelaStaines GeorgeStock RoyStraite PeterSturgeon PeterSumner JohnSylla TomSylla MalcolmTierney PhilTippett BurnellTucker MorganUpton JerryWalter HalWamsley LarryWard DianaSadleyWay HaroldWeed BillWeston Steve'Spaz'Williams FredWood ColinHiggins GeorgeLucas
309,the swan princess,['Animation'],"['The', 'beautiful', 'princess', 'Odette', 'is', 'transformed', 'into', 'a', 'swan', 'by', 'an', 'evil', ""sorcerer's"", 'spell.', 'Held', 'captive', 'at', 'an', 'enchanted', 'lake,', 'she', 'befriends', 'Jean-Bob', 'the', 'frog,', 'Speed', 'the', 'turtle', 'and', 'Puffin', 'the', 'bird.', 'Despite', 'their', 'struggle', 'to', 'keep', 'the', 'princess', 'safe,', 'these', 'good-natured', 'creatures', 'can', 'do', 'nothing', 'about', 'the', ""sorcerer's"", 'spell,', 'which', 'can', 'only', 'be', 'broken', 'by', 'a', 'vow', 'of', 'everlasting', 'love.']","['MichelleNicastro', 'JackPalance', 'HowardMcGillin', 'JohnCleese', 'StevenWright', 'SteveVinovich', 'MarkHarelik', 'JamesArrington', 'JoelMcKinnonMiller', 'DakinMatthews', 'SandyDuncan', 'BrianNissen', 'AdamWylie']",['RichardRich'],"The beautiful princess Odette is transformed into a swan by an evil sorcerer's spell. Held captive at an enchanted lake, she befriends Jean-Bob the frog, Speed the turtle and Puffin the bird. Despite their struggle to keep the princess safe, these good-natured creatures can do nothing about the sorcerer's spell, which can only be broken by a vow of everlasting love. Animation MichelleNicastro JackPalance HowardMcGillin JohnCleese StevenWright SteveVinovich MarkHarelik JamesArrington JoelMcKinnonMiller DakinMatthews SandyDuncan BrianNissen AdamWylie RichardRich"
359,the lion king,"['Family', 'Animation', 'Drama']","['A', 'young', 'lion', 'cub', 'named', 'Simba', ""can't"", 'wait', 'to', 'be', 'king.', 'But', 'his', 'uncle', 'craves', 'the', 'title', 'for', 'himself', 'and', 'will', 'stop', 'at', 'nothing', 'to', 'get', 'it.']","['JonathanTaylorThomas', 'MatthewBroderick', 'JamesEarlJones', 'JeremyIrons', 'MoiraKelly', 'NiketaCalame', 'ErnieSabella', 'NathanLane', 'RobertGuillaume', 'RowanAtkinson', 'WhoopiGoldberg', 'CheechMarin', 'JimCummings', 'MadgeSinclair', 'JosephWilliams', 'JasonWeaver', 'SallyDworsky', 'LauraWilliams', 'ZoeLeader', 'FrankWelker', 'JudiM.Durand', 'DaamenJ.Krall', 'DavidMcCharen', 'MaryLindaPhillips', 'PhilProctor', 'DavidJ.Randolph', 'EvanSaucedo', 'BrianTochi']","['RogerAllers', 'RobMinkoff']",A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it. Family Animation Drama JonathanTaylorThomas MatthewBroderick JamesEarlJones JeremyIrons MoiraKelly NiketaCalame ErnieSabella NathanLane RobertGuillaume RowanAtkinson WhoopiGoldberg CheechMarin JimCummings MadgeSinclair JosephWilliams JasonWeaver SallyDworsky LauraWilliams ZoeLeader FrankWelker JudiM.Durand DaamenJ.Krall DavidMcCharen MaryLindaPhillips PhilProctor DavidJ.Randolph EvanSaucedo BrianTochi RogerAllers RobMinkoff
475,jurassic park,"['Adventure', 'ScienceFiction']","['A', 'wealthy', 'entrepreneur', 'secretly', 'creates', 'a', 'theme', 'park', 'featuring', 'living', 'dinosaurs', 'drawn', 'from', 'prehistoric', 'DNA.', 'Before', 'opening', 'day,', 'he', 'invites', 'a', 'team', 'of', 'experts', 'and', 'his', 'two', 'eager', 'grandchildren', 'to', 'experience', 'the', 'park', 'and', 'help', 'calm', 'anxious', 'investors.', 'However,', 'the', 'park', 'is', 'anything', 'but', 'amusing', 'as', 'the', 'security', 'systems', 'go', 'off-line', 'and', 'the', 'dinosaurs', 'escape.']","['SamNeill', 'LauraDern', 'JeffGoldblum', 'RichardAttenborough', 'BobPeck', 'MartinFerrero', 'BDWong', 'JosephMazzello', 'ArianaRichards', 'SamuelL.Jackson', 'WayneKnight', 'GeraldR.Molen', 'MiguelSandoval', 'CameronThor', 'ChristopherJohnFields', 'WhitHertford', 'DeanCundey', 'JopheryC.Brown', 'TomMishler', 'GregBurson', 'AdrianEscober', 'RichardKiley', 'BradM.Bucklin', 'LauraBurnett', 'GaryRodriguez', 'BrianSmrz', ""Robert'BobbyZ'Zajonc""]",['StevenSpielberg'],"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape. Adventure ScienceFiction SamNeill LauraDern JeffGoldblum RichardAttenborough BobPeck MartinFerrero BDWong JosephMazzello ArianaRichards SamuelL.Jackson WayneKnight GeraldR.Molen MiguelSandoval CameronThor ChristopherJohnFields WhitHertford DeanCundey JopheryC.Brown TomMishler GregBurson AdrianEscober RichardKiley BradM.Bucklin LauraBurnett GaryRodriguez BrianSmrz Robert'BobbyZ'Zajonc StevenSpielberg"
